Month,Region,Head,Call Average,Performance,Pob
9,Kolkata,Ranchi - 1,28.45,125.9145082,21.11842615
9,Kolkata,Ranchi - 2,22.08695652,94.8721959,3.061201733
9,Kolkata,Silchar,20.875,56.45750711,12.12884988
9,Lucknow,Agra,41.08333333,101.6429237,42.99220015
9,Lucknow,Aligarh,33.34782609,42.22071196,29.30365822
9,Lucknow,Allahabad,31.6,116.9801841,104.7596353
9,Lucknow,Azamgarh,31.60869565,139.3034239,51.8518207
9,Lucknow,Bareilly,31.04347826,101.9367826,27.31452465
9,Lucknow,Dehradun,36.58333333,111.319765,59.98085407
9,Lucknow,Faizabad,27.80952381,141.5515565,51.40650863
9,Lucknow,Ghaziabad,41.125,116.3376367,97.02481678
9,Lucknow,Ghazipur / Balia,33.20833333,147.066176,57.96918538
9,Lucknow,Gorakhpur -1,31,66.61444648,48.2116176
9,Lucknow,Gorakhpur -2,31.52,209.2259524,31.77835398
9,Lucknow,Haldwani,29.27272727,56.3948459,16.79483566
9,Lucknow,Jhansi,34.04347826,101.191221,51.91058894
9,Lucknow,Kanpur - 1,29.04545455,71.66966973,10.12184564
9,Lucknow,Kanpur - 2,32.20833333,97.25627762,32.71913911
9,Lucknow,Lucknow - 1,32,222.7853734,27.73277352
9,Lucknow,Lucknow-2,33.52,4.23788997,24.43526449
9,Lucknow,Meerut,35.76,60.46639098,58.19351512
9,Lucknow,Moradabad,37.12,100.4775042,30.95838329
9,Lucknow,Muzaffarnagar,43.52,126.7541708,55.50831172
9,Lucknow,Varanasi-1,37.125,138.0405051,92.8957364
9,Lucknow,Varanasi-2,34.28,101.4228583,61.03414786
10,Delhi,Ambala,29.2173913,100.3442934,22.87525719
10,Delhi,Amritsar,30.30434783,71.57527301,36.09976746
10,Delhi,Bharatpur,25.08695652,63.93967068,38.4538
10,Delhi,Bhatinda,26.82608696,101.1374666,54.95590831
10,Delhi,Delhi,29.43478261,92.42486168,10.89828782
10,Delhi,Gurgaon,32.04347826,75.31773649,29.18556645
10,Delhi,Hisar,29.39130435,58.45190419,46.99021103
10,Delhi,Jaipur,40.86956522,83.86377469,36.42587289
10,Delhi,Jalandhar,32.13043478,47.39324328,46.87979884
10,Delhi,Jammu,26.56521739,49.8716235,30.1604999
10,Delhi,Jodhpur,28.94444444,38.77584204,32.5466873
10,Delhi,Karnal,28.13043478,100.9532687,58.03235223
10,Delhi,Kota,22.61538462,31.34705964,22.96352631
10,Delhi,Ludhiana,37.69565217,104.3591328,39.81195711
10,Delhi,Mandi,26.7826087,41.62083251,22.56276514
10,Delhi,Patiala,28.77272727,101.2309325,45.485901
10,Delhi,Rohtak,27.56521739,104.6704652,44.62476471
10,Delhi,Sikar,,32.59256712,
10,Delhi,Sri Ganganagar,24.39130435,65.55995178,33.62935902
10,Delhi,Srinagar,29.82608696,58.57693176,50.37060873
10,Delhi,Udaipur,21.65,63.49902047,20.89705905
10,Kolkata,BHUBANESWAR,,93.63366897,0.280064761
10,Kolkata,Balasore,25.90909091,117.3544423,81.23069358
10,Kolkata,Bhagalpur,32.33333333,111.4197567,14.38960115
10,Kolkata,CUTTACK,27.23809524,104.0778193,66.40054766
10,Kolkata,Dhanbad,27.09090909,139.2780487,14.68630863
10,Kolkata,Dharbanga,28.04761905,111.845707,18.34326348
10,Kolkata,Dibrugarh,19.23809524,103.4805524,6.620486565
10,Kolkata,Gauhati,24.42857143,110.2724136,10.8492588
10,Kolkata,Gaya,29.68421053,126.9254932,24.54165634
10,Kolkata,Jamshedpur,34.05882353,93.77041864,86.34746074
10,Kolkata,Motihari,31.18181818,82.40762156,17.17470807
